categoryName,name,nameEn,consumerPrice,financialPrice,order,isAvailable
,قهوة,Coffee,150,,,
,قهوة دبل,Coffee double,220,,,
,ركوة قهوة,Coffee pot,440,,,
,شاي,Tea,145,,,
,شاي مع قرفة ,Tea with cinnamon,165,,,
,ابريق شاي,Tea pot,330,,,
,زهورات,Zhourat,145,,,
,ابريق زهورات,Zhourat pot,330,,,
,كمون و ليمون,Cumin & Lemon,145,,,
,هوت شوكليت,Hot Chocolat,175,,,
,كابوتشينو,Cappuccino,165,,,
,ميلو ,Milo,165,,,
,ميلو بحليب,Milo With Milk,220,,,
,نسكافيه 3 ب1,Nescafe 3 in 1,165,,,
,نسكافيه بالحليب,Nescafe With Milk,220,,,
,نسكافيه بلاك,Neccafe Black,120,,,
,مياه معدني,Water,135,,,
,كولا,Cola,200,,,
,سفن اب,Seven Up,200,,,
,سفن غراندين,Seven Up Grenadine,200,,,
,عصير,Juice,220,,,
,عصير فريش,Fresh Juice,280,,,
,عصير برتقال فريش,Fresh Orange Juice,280,,,
,ابريق عصير,Jar of juice,400,,,
,جمايكا بدون كحول,Virgin Jamaica,300,,,
,ايس كافيه,Ice Coffee ,190,,,
,ايس تي,Ice Tea,180,,,
,كوكتيل حليب و شوكولا,Milk & Chocolate Cocktail,385,,,
,كوكتيل حليب و فريز,Milk & Strawberry Coktail,385,,,
,كوكتيل حليب و موز,Milk & Banana Coktail,385,,,
,كوكتيل فواكه,Fruit Coktail,440,,,
,بوظة مشكلة,Versatile Ice Cream,385,,,
,بولو,Polo,220,,,
,ميلك شيك شوكولا,Chocolate Milkshake,385,,,
,ميلك شيك فانيليا,Vanilla Milkshake,385,,,
,ميلك شيك فريز,Strawberry Milkshake,385,,,
,موالح اكسترا,Nuts Extra,490,,,
,موالح عادية,Nuts,165,,,
,جزر و خيار,Cucumber + Carrots,150,,,
,بيرة المازا,Almaza Beer,500,,,
,بيرة بيروت,Beirut Beed,420,,,
,بيرة كورونا,Corona Beer,600,,,
,بيرة المازا مكسيكي,Mexican Almaza Beer,550,,,
,بيرة بيروت مكسيكي,Mexican Beirut Beer,450,,,
,بيرة كورونا مكسيكي,Mexican Corona Beer,630,,,
,ربعية عرق,Arak 1/4 liter,275,,,
,نصية عرق,Arak 1/2 liter,550,,,
,ليتر عرق,Arak 1 liter,1100,,,
,سوداية عرق,Arak Soudaya,770,,,
